SalesOrder,SalesOrderType,SalesOrganization,DistributionChannel,OrganizationDivision,SalesGroup,SalesOffice,SalesDistrict,SoldToParty,CreationDate,CreatedByUser,LastChangeDate,SenderBusinessSystemName,ExternalDocumentID,LastChangeDateTime,ExternalDocLastChangeDateTime,PurchaseOrderByCustomer,PurchaseOrderByShipToParty,CustomerPurchaseOrderType,CustomerPurchaseOrderDate,SalesOrderDate,TotalNetAmount,OverallDeliveryStatus,TotalBlockStatus,OverallOrdReltdBillgStatus,OverallSDDocReferenceStatus,TransactionCurrency,SDDocumentReason,PricingDate,PriceDetnExchangeRate,BillingPlan,RequestedDeliveryDate,ShippingCondition,CompleteDeliveryIsDefined,ShippingType,HeaderBillingBlockReason,DeliveryBlockReason,DeliveryDateTypeRule,IncotermsClassification,IncotermsTransferLocation,IncotermsLocation1,IncotermsLocation2,IncotermsVersion,CustomerPriceGroup,PriceListType,CustomerPaymentTerms,PaymentMethod,FixedValueDate,AssignmentReference,ReferenceSDDocument,ReferenceSDDocumentCategory,AccountingDocExternalReference,CustomerAccountAssignmentGroup,AccountingExchangeRate,CorrespncExternalReference,POCorrespncExternalReference,CustomerConditionGroup1,CustomerConditionGroup2,CustomerConditionGroup3,CustomerConditionGroup4,CustomerConditionGroup5,CustomerGroup,AdditionalCustomerGroup1,AdditionalCustomerGroup2,AdditionalCustomerGroup3,AdditionalCustomerGroup4,AdditionalCustomerGroup5,SlsDocIsRlvtForProofOfDeliv,CustomerTaxClassification1,CustomerTaxClassification2,CustomerTaxClassification3,CustomerTaxClassification4,CustomerTaxClassification5,CustomerTaxClassification6,CustomerTaxClassification7,CustomerTaxClassification8,CustomerTaxClassification9,TaxDepartureCountry,VATRegistrationCountry,SalesOrderApprovalReason,SalesDocApprovalStatus,OverallSDProcessStatus,TotalCreditCheckStatus,OverallTotalDeliveryStatus,OverallSDDocumentRejectionSts,BillingDocumentDate,ContractAccount,AdditionalValueDays,CustomerPurchaseOrderSuplmnt,ServicesRenderedDate
9900000010,CBMO,1010,10,00,,,US0003,USCU_L05,/Date(1521072000000)/,S4H_PP,/Date(1571702400000)/,,,9900000010,,4500068185,,,/Date(1507248000000)/,/Date(1508112000000)/,3480.00,C,,,,EUR,006,/Date(1521072000000)/,1.00000,,/Date(1508371200000)/,9900000010,false,,,,,CFR,Cost & Freight,San Francisco,,,C1,,0004,E,,,54,,,01,0.00000,,,9900000010,9900000010,9900000010,9900000010,9900000010,Z2,,,,,,false,,,,,,,,,,,,,,C,B,,A,/Date(1507248000000)/,,0,,
9900000011,BV,1010,10,00,,,US0003,USCU_L08,/Date(1508112000000)/,S4H_CO,/Date(1508371200000)/,,,9900000011,,4500068419,,,/Date(1520812800000)/,/Date(1521504000000)/,11475.00,,C,,,USD,,/Date(1508716800000)/,1.00000,,/Date(1521158400000)/,9900000011,false,,,,,EXW,Cost & Freight,San Jose,,,C1,,0004,E,,,54,C,,01,0.00000,,,9900000011,9900000011,9900000011,9900000011,9900000011,02,,,,,,false,,,,,,,,,,,,,,C,,C,A,/Date(1508198400000)/,,0,,
9900000012,BV,1710,10,00,,,US0004,USCU_S16,/Date(1509926400000)/,S4H_SD_DEM,/Date(1520812800000)/,,,9900000012,,4500068363,,,/Date(1508803200000)/,/Date(1510531200000)/,2380.00,C,A,C,,USD,,/Date(1507420800000)/,1.00000,,/Date(1510790400000)/,9900000012,false,,,,,CFR,Tarrant,Tarrant,,,,,NT60,,,,40000004,,,01,0.00000,,,9900000012,9900000012,9900000012,9900000012,9900000012,01,,,,,,true,,,,,,,,,,,,,,C,D,,C,/Date(1520812800000)/,,0,,
9900000013,BV,1710,10,00,,,,EWM17-CU01,/Date(1521158400000)/,S4H_SD,/Date(1508112000000)/,,,9900000013,,4500049439,,,/Date(1520812800000)/,/Date(1507420800000)/,133266.00,C,A,C,,USD,,/Date(1508284800000)/,1.00000,,/Date(1509926400000)/,9900000013,false,,,,,EXW,Tarrant,San Jose,,,,,0004,E,,,20000004,G,,01,0.00000,,,9900000013,9900000013,9900000013,9900000013,9900000013,Z1,,,,,,false,,,,,,,,,,,,,,C,B,C,B,/Date(1510531200000)/,,0,,
9900000014,BV,1710,10,00,,,US0004,17100008,/Date(1508284800000)/,S4H_PP,/Date(1520812800000)/,,,9900000014,,4500069228,,,/Date(1509580800000)/,/Date(1508112000000)/,41800.00,B,C,,A,USD,006,/Date(1510790400000)/,1.00000,,/Date(1508716800000)/,9900000014,false,,,,,EXW,San Francisco,Tarrant,,,,,0001,,,,54,,,01,0.00000,,,9900000014,9900000014,9900000014,9900000014,9900000014,Z1,,,,,,false,,,,,,,,,,,,,,C,B,C,B,/Date(1521417600000)/,,0,,
9900000015,OR,1010,10,00,,,,17100001,/Date(1507507200000)/,S4H_SD_DEM,/Date(1508112000000)/,,,9900000015,,4500055485,,,/Date(1521072000000)/,/Date(1508112000000)/,2200.00,A,,,,USD,006,/Date(1520553600000)/,1.00000,,/Date(1509926400000)/,9900000015,false,,,,,DDP,Site,Palo Alto,,,C1,,0001,E,,,54,,,01,0.00000,,,9900000015,9900000015,9900000015,9900000015,9900000015,Z1,,,,,,true,,,,,,,,,,,,,,C,B,C,B,/Date(1508371200000)/,,0,,
9900000016,CCFU,1710,10,00,,,US0004,USCU_S17,/Date(1510876800000)/,S4H_TM_DEM,/Date(1509580800000)/,,,9900000016,,4500054148,,,/Date(1509580800000)/,/Date(1507507200000)/,5010.00,,A,,,EUR,008,/Date(1508803200000)/,1.00000,,/Date(1511136000000)/,9900000016,false,,,,,DDP,Cost & Freight,Site,,,,,NT60,E,,,,G,,01,0.00000,,,9900000016,9900000016,9900000016,9900000016,9900000016,02,,,,,,true,,,,,,,,,,,,,,C,B,,A,/Date(1508371200000)/,,0,,
9900000017,BV,1010,10,00,,,US0004,USCU_L03,/Date(1509926400000)/,S4H_CO,/Date(1508112000000)/,,,9900000017,,4500069804,,,/Date(1520985600000)/,/Date(1521590400000)/,13200.00,C,,,,USD,,/Date(1521072000000)/,1.00000,,/Date(1510531200000)/,9900000017,false,,,,,CFR,San Francisco,San Jose,,,,,0004,E,,,,C,,01,0.00000,,,9900000017,9900000017,9900000017,9900000017,9900000017,Z2,,,,,,false,,,,,,,,,,,,,,C,D,C,C,/Date(1513641600000)/,,0,,
9900000018,OR,1710,10,00,,,,USCU_S10,/Date(1515110400000)/,S4H_PP,/Date(1508371200000)/,,,9900000018,,4500055865,,,/Date(1509580800000)/,/Date(1521590400000)/,3480.00,B,C,,,USD,008,/Date(1539043200000)/,1.00000,,/Date(1508716800000)/,9900000018,false,,,,,CFR,Site,Cost & Freight,,,C1,,NT30,,,,40000002,C,,01,0.00000,,,9900000018,9900000018,9900000018,9900000018,9900000018,01,,,,,,true,,,,,,,,,,,,,,C,B,,B,/Date(1521590400000)/,,0,,
9900000019,CCFU,1010,10,00,,,US0003,USCU_S17,/Date(1539043200000)/,S4H_TM_TP,/Date(1508371200000)/,,,9900000019,,4500047234,,,/Date(1509580800000)/,/Date(1515110400000)/,9522.00,A,A,,A,EUR,006,/Date(1515110400000)/,1.00000,,/Date(1521158400000)/,9900000019,false,,,,,DDP,Tarrant,Palo Alto,,,C1,,NT30,,,,40000002,,,01,0.00000,,,9900000019,9900000019,9900000019,9900000019,9900000019,02,,,,,,true,,,,,,,,,,,,,,C,,,A,/Date(1508112000000)/,,0,,
9900000020,CCFU,1010,10,00,,,US0004,USCU_S12,/Date(1538956800000)/,S4H_PP,/Date(1508371200000)/,,,9900000020,,4500057172,,,/Date(1521072000000)/,/Date(1522886400000)/,43505.00,B,A,,,EUR,006,/Date(1508803200000)/,1.00000,,/Date(1515110400000)/,9900000020,false,,,,,CFR,Palo Alto,Cost & Freight,,,,,0004,E,,,54,G,,01,0.00000,,,9900000020,9900000020,9900000020,9900000020,9900000020,01,,,,,,false,,,,,,,,,,,,,,C,,,A,/Date(1507248000000)/,,0,,
9900000021,CBMO,1010,10,00,,,US0004,USCU_S17,/Date(1520985600000)/,S4H_CO,/Date(1508198400000)/,,,9900000021,,4500069410,,,/Date(1520985600000)/,/Date(1538956800000)/,11676.00,B,C,,A,USD,008,/Date(1520553600000)/,1.00000,,/Date(1507420800000)/,9900000021,false,,,,,EXW,San Francisco,Site,,,,,NT30,,,,40000004,G,,01,0.00000,,,9900000021,9900000021,9900000021,9900000021,9900000021,01,,,,,,true,,,,,,,,,,,,,,C,,,C,/Date(1508716800000)/,,0,,
9900000022,CBMO,1010,10,00,,,US0004,10100001,/Date(1510531200000)/,S4H_TM_TP,/Date(1508371200000)/,,,9900000022,,4500044851,,,/Date(1508803200000)/,/Date(1515110400000)/,7000.00,C,A,C,A,EUR,,/Date(1520899200000)/,1.00000,,/Date(1521072000000)/,9900000022,false,,,,,CFR,Cost & Freight,San Jose,,,,,NT30,E,,,20000004,,,01,0.00000,,,9900000022,9900000022,9900000022,9900000022,9900000022,Z1,,,,,,false,,,,,,,,,,,,,,C,D,C,C,/Date(1515110400000)/,,0,,
9900000023,OR,1710,10,00,,,US0004,USCU_S02,/Date(1520553600000)/,S4H_SD,/Date(1520812800000)/,,,9900000023,,MH11062017_4,,,/Date(1520812800000)/,/Date(1507420800000)/,10125.00,C,C,,,EUR,006,/Date(1521590400000)/,1.00000,,/Date(1539043200000)/,9900000023,false,,,,,CFR,Walldorf,Site,,,,,NT30,E,,,54,B,,01,0.00000,,,9900000023,9900000023,9900000023,9900000023,9900000023,02,,,,,,true,,,,,,,,,,,,,,C,B,C,B,/Date(1511136000000)/,,0,,
9900000024,CCFU,1710,10,00,,,US0004,17186003,/Date(1508371200000)/,S4H_SD_DEM,/Date(1509580800000)/,,,9900000024,,4500049454,,,/Date(1507507200000)/,/Date(1508112000000)/,3480.00,B,C,C,,USD,,/Date(1513641600000)/,1.00000,,/Date(1507420800000)/,9900000024,false,,,,,CFR,Cost & Freight,Site,,,C1,,NT30,,,,51,C,,01,0.00000,,,9900000024,9900000024,9900000024,9900000024,9900000024,02,,,,,,true,,,,,,,,,,,,,,C,D,,C,/Date(1520985600000)/,,0,,
9900000025,CBMO,1710,10,00,,,US0006,USCU_S05,/Date(1509926400000)/,S4H_SD,/Date(1508198400000)/,,,9900000025,,4500068874,,,/Date(1521504000000)/,/Date(1522886400000)/,111356.00,A,A,,A,USD,006,/Date(1521590400000)/,1.00000,,/Date(1507248000000)/,9900000025,false,,,,,DDP,Walldorf,San Jose,,,C1,,0001,E,,,51,C,,01,0.00000,,,9900000025,9900000025,9900000025,9900000025,9900000025,02,,,,,,false,,,,,,,,,,,,,,C,,C,C,/Date(1508284800000)/,,0,,
9900000026,OR,1710,10,00,,,US0003,USCU_S11,/Date(1511740800000)/,S4H_PP,/Date(1571702400000)/,,,9900000026,,4500045154,,,/Date(1521504000000)/,/Date(1521504000000)/,78000.00,B,C,,A,EUR,008,/Date(1509580800000)/,1.00000,,/Date(1508198400000)/,9900000026,false,,,,,CFR,San Jose,Cost & Freight,,,,,0001,E,,,40000002,B,,01,0.00000,,,9900000026,9900000026,9900000026,9900000026,9900000026,Z1,,,,,,true,,,,,,,,,,,,,,C,B,C,C,/Date(1521158400000)/,,0,,
9900000027,CCFU,1710,10,00,,,US0006,USCU_S08,/Date(1507248000000)/,S4H_CO,/Date(1521590400000)/,,,9900000027,,4500056882,,,/Date(1520985600000)/,/Date(1522886400000)/,6160.00,C,C,,,EUR,008,/Date(1507420800000)/,1.00000,,/Date(1521936000000)/,9900000027,false,,,,,EXW,Cost & Freight,Cost & Freight,,,,,NT30,,,,40000002,B,,01,0.00000,,,9900000027,9900000027,9900000027,9900000027,9900000027,02,,,,,,false,,,,,,,,,,,,,,C,D,C,A,/Date(1507593600000)/,,0,,
9900000028,CCFU,1710,10,00,,,US0006,USCU_S10,/Date(1507248000000)/,S4H_PP,/Date(1508371200000)/,,,9900000028,,4500054505,,,/Date(1520812800000)/,/Date(1510790400000)/,600.00,C,C,C,,USD,,/Date(1508803200000)/,1.00000,,/Date(1521504000000)/,9900000028,false,,,,,CFR,Tarrant,Cost & Freight,,,,,NT60,,,,40000004,B,,01,0.00000,,,9900000028,9900000028,9900000028,9900000028,9900000028,Z1,,,,,,true,,,,,,,,,,,,,,C,,C,A,/Date(1508284800000)/,,0,,
9900000029,BV,1710,10,00,,,US0003,USCU_L09,/Date(1520553600000)/,S4H_SD_DEM,/Date(1520812800000)/,,,9900000029,,4500069021,,,/Date(1520553600000)/,/Date(1508716800000)/,4400.00,C,C,C,,EUR,,/Date(1520985600000)/,1.00000,,/Date(1513641600000)/,9900000029,false,,,,,CFR,Tarrant,Cost & Freight,,,,,NT30,E,,,54,C,,01,0.00000,,,9900000029,9900000029,9900000029,9900000029,9900000029,Z2,,,,,,true,,,,,,,,,,,,,,C,D,,A,/Date(1538956800000)/,,0,,
9900000030,BV,1710,10,00,,,US0006,USCU_S14,/Date(1507420800000)/,S4H_TM_TP,/Date(1571702400000)/,,,9900000030,,4500069440,,,/Date(1521504000000)/,/Date(1507420800000)/,480.00,A,A,,A,EUR,,/Date(1508803200000)/,1.00000,,/Date(1508284800000)/,9900000030,false,,,,,EXW,San Francisco,Cost & Freight,,,C1,,0004,E,,,40000002,,,01,0.00000,,,9900000030,9900000030,9900000030,9900000030,9900000030,02,,,,,,false,,,,,,,,,,,,,,C,D,C,A,/Date(1507593600000)/,,0,,
9900000031,BV,1710,10,00,,,,USCU_S10,/Date(1510531200000)/,S4H_SD_DEM,/Date(1508198400000)/,,,9900000031,,4500049108,,,/Date(1507507200000)/,/Date(1507248000000)/,15890.00,B,A,C,A,USD,008,/Date(1507593600000)/,1.00000,,/Date(1513641600000)/,9900000031,false,,,,,CFR,Palo Alto,San Francisco,,,,,NT30,,,,54,B,,01,0.00000,,,9900000031,9900000031,9900000031,9900000031,9900000031,02,,,,,,true,,,,,,,,,,,,,,C,,C,A,/Date(1520985600000)/,,0,,
9900000032,BV,1710,10,00,,,,USCU_L05,/Date(1507248000000)/,BPINST,/Date(1508112000000)/,,,9900000032,,4500068817,,,/Date(1520812800000)/,/Date(1508284800000)/,12995.00,,A,C,A,USD,,/Date(1521072000000)/,1.00000,,/Date(1511136000000)/,9900000032,false,,,,,DDP,Walldorf,Site,,,,,0001,E,,,40,B,,01,0.00000,,,9900000032,9900000032,9900000032,9900000032,9900000032,Z1,,,,,,false,,,,,,,,,,,,,,C,D,C,C,/Date(1508112000000)/,,0,,
9900000033,CBMO,1710,10,00,,,,USCU_L03,/Date(1515110400000)/,S4H_TM_TP,/Date(1509580800000)/,,,9900000033,,24101701,,,/Date(1520812800000)/,/Date(1520812800000)/,9120.00,A,A,,A,EUR,006,/Date(1520899200000)/,1.00000,,/Date(1521590400000)/,9900000033,false,,,,,DDP,San Jose,Walldorf,,,C1,,0001,,,,20000004,,,01,0.00000,,,9900000033,9900000033,9900000033,9900000033,9900000033,01,,,,,,false,,,,,,,,,,,,,,C,B,C,B,/Date(1510790400000)/,,0,,
9900000034,BV,1010,10,00,,,US0006,USCU_S09,/Date(1520985600000)/,BPINST,/Date(1508198400000)/,,,9900000034,,4500049078,,,/Date(1520553600000)/,/Date(1511136000000)/,9605.00,B,A,C,A,EUR,,/Date(1508112000000)/,1.00000,,/Date(1508371200000)/,9900000034,false,,,,,EXW,San Jose,Cost & Freight,,,C1,,0001,,,,40000002,C,,01,0.00000,,,9900000034,9900000034,9900000034,9900000034,9900000034,Z1,,,,,,false,,,,,,,,,,,,,,C,B,,C,/Date(1521158400000)/,,0,,
9900000035,BV,1710,10,00,,,US0004,USCU_S11,/Date(1520553600000)/,S4H_TM_DEM,/Date(1571702400000)/,,,9900000035,,4500049322,,,/Date(1520985600000)/,/Date(1511740800000)/,15568.00,A,A,,,USD,006,/Date(1508198400000)/,1.00000,,/Date(1513641600000)/,9900000035,false,,,,,CFR,Walldorf,Cost & Freight,,,C1,,NT30,E,,,,,,01,0.00000,,,9900000035,9900000035,9900000035,9900000035,9900000035,02,,,,,,false,,,,,,,,,,,,,,C,B,C,A,/Date(1509580800000)/,,0,,
9900000036,BV,1710,10,00,,,,17186007,/Date(1513641600000)/,S4H_SD_DEM,/Date(1520812800000)/,,,9900000036,,4500068185,,,/Date(1508803200000)/,/Date(1522886400000)/,490.00,A,,C,A,USD,006,/Date(1509580800000)/,1.00000,,/Date(1509926400000)/,9900000036,false,,,,,EXW,Site,San Francisco,,,C1,,NT30,E,,,40000004,B,,01,0.00000,,,9900000036,9900000036,9900000036,9900000036,9900000036,01,,,,,,true,,,,,,,,,,,,,,C,B,,B,/Date(1520899200000)/,,0,,
9900000037,CBMO,1710,10,00,,,US0003,USCU_S11,/Date(1508198400000)/,S4H_PP,/Date(1521590400000)/,,,9900000037,,4500055544,,,/Date(1520553600000)/,/Date(1521590400000)/,10780.00,A,C,,,EUR,006,/Date(1508198400000)/,1.00000,,/Date(1521504000000)/,9900000037,false,,,,,CFR,Site,San Francisco,,,C1,,0004,,,,40000002,G,,01,0.00000,,,9900000037,9900000037,9900000037,9900000037,9900000037,01,,,,,,true,,,,,,,,,,,,,,C,B,,B,/Date(1538956800000)/,,0,,
9900000038,CBMO,1710,10,00,,,,USCU_S14,/Date(1510876800000)/,BPINST,/Date(1509580800000)/,,,9900000038,,4500044494,,,/Date(1520985600000)/,/Date(1520985600000)/,1080.00,C,,C,A,USD,006,/Date(1508716800000)/,1.00000,,/Date(1507420800000)/,9900000038,false,,,,,CFR,Tarrant,San Jose,,,C1,,0004,E,,,,G,,01,0.00000,,,9900000038,9900000038,9900000038,9900000038,9900000038,Z1,,,,,,false,,,,,,,,,,,,,,C,B,C,B,/Date(1507420800000)/,,0,,
9900000039,CCFU,1010,10,00,,,,USCU_L10,/Date(1509580800000)/,S4H_TM_TP,/Date(1508112000000)/,,,9900000039,,4500069529,,,/Date(1509580800000)/,/Date(1509926400000)/,14560.00,A,,C,A,EUR,008,/Date(1515110400000)/,1.00000,,/Date(1507507200000)/,9900000039,false,,,,,CFR,Tarrant,Tarrant,,,C1,,NT30,E,,,40,C,,01,0.00000,,,9900000039,9900000039,9900000039,9900000039,9900000039,01,,,,,,false,,,,,,,,,,,,,,C,D,,C,/Date(1520899200000)/,,0,,
9900000040,CBMO,1010,10,00,,,US0003,USCU_S07,/Date(1511740800000)/,S4H_PP,/Date(1521590400000)/,,,9900000040,,4500069744,,,/Date(1508803200000)/,/Date(1515110400000)/,12430.00,A,C,C,,USD,008,/Date(1508716800000)/,1.00000,,/Date(1509926400000)/,9900000040,false,,,,,CFR,Walldorf,Palo Alto,,,,,NT60,,,,51,G,,01,0.00000,,,9900000040,9900000040,9900000040,9900000040,9900000040,02,,,,,,false,,,,,,,,,,,,,,C,D,C,C,/Date(1513641600000)/,,0,,
9900000041,BV,1710,10,00,,,US0003,USCU_S05,/Date(1521072000000)/,S4H_SD,/Date(1509580800000)/,,,9900000041,,4500055053,,,/Date(1507507200000)/,/Date(1510790400000)/,19460.00,B,A,,A,EUR,,/Date(1508803200000)/,1.00000,,/Date(1509926400000)/,9900000041,false,,,,,EXW,Cost & Freight,Cost & Freight,,,,,NT60,E,,,54,,,01,0.00000,,,9900000041,9900000041,9900000041,9900000041,9900000041,Z1,,,,,,false,,,,,,,,,,,,,,C,D,C,C,/Date(1507420800000)/,,0,,
9900000042,CCFU,1710,10,00,,,US0004,17100009,/Date(1507248000000)/,S4H_TM_DEM,/Date(1509580800000)/,,,9900000042,,4500043776,,,/Date(1520553600000)/,/Date(1507248000000)/,49680.00,C,C,,A,USD,,/Date(1511136000000)/,1.00000,,/Date(1511740800000)/,9900000042,false,,,,,CFR,Site,Site,,,,,NT60,E,,,51,,,01,0.00000,,,9900000042,9900000042,9900000042,9900000042,9900000042,Z2,,,,,,false,,,,,,,,,,,,,,C,D,,C,/Date(1508803200000)/,,0,,
9900000043,CBMO,1710,10,00,,,US0004,USCU_L05,/Date(1508716800000)/,S4H_SD,/Date(1520812800000)/,,,9900000043,,4500046702,,,/Date(1509580800000)/,/Date(1507507200000)/,48.50,C,A,C,,USD,006,/Date(1507593600000)/,1.00000,,/Date(1508716800000)/,9900000043,false,,,,,CFR,Palo Alto,San Jose,,,,,NT30,,,,40000004,B,,01,0.00000,,,9900000043,9900000043,9900000043,9900000043,9900000043,Z1,,,,,,false,,,,,,,,,,,,,,C,B,,A,/Date(1508112000000)/,,0,,
